=== PLAYER OVERVIEW ===
IGN,Main_Role,Current_Rank,Season_Peak_Rank,Overall_KDA,Overall_WinRate%,Total_Matches,Status
ＰＥＲＫ,5,Luna Snow,Strategist,3.13,9.4%,3,Success
Duckbadger,1,Doctor Strange,Vanguard,4.62,64.8%,7,Success
Duckbadger,2,Magneto,Vanguard,3.72,46.9%,6,Success
Duckbadger,3,Emma Frost,Vanguard,5.21,57.1%,4,Success
Duckbadger,4,Winter Soldier,Duelist,13.50,100.0%,1,Success
Duckbadger,5,Jeff The Land Shark,Strategist,14.75,90.9%,1,Success
Nute,N/A,N/A,N/A,N/A,N/A,0,Success
Yammmmm,1,Deadpool (Vanguard),Unknown,7.07,75.1%,16,Success
Yammmmm,2,Angela,Vanguard,4.54,67.3%,15,Success
Yammmmm,3,Bruce Banner,Unknown,4.14,65.2%,13,Success
Yammmmm,4,Groot,Vanguard,3.35,47.1%,6,Success
Yammmmm,5,Emma Frost,Vanguard,3.22,41.8%,5,Success
Hansollohub,1,White Fox,Strategist,7.86,45.5%,17,Success
Hansollohub,2,Scarlet Witch,Duelist,5.35,66.7%,3,Success
Hansollohub,3,Luna Snow,Strategist,19.60,100.0%,2,Success
Hansollohub,4,Invisible Woman,Strategist,13.25,71.4%,1,Success
Hansollohub,5,Jeff The Land Shark,Strategist,7.00,100.0%,0,Success
5728,N/A,N/A,N/A,N/A,N/A,0,Success
SkyGuardian111,1,Deadpool (Vanguard),Unknown,2.15,41.9%,6,Success
SkyGuardian111,2,The Thing,Vanguard,11.00,100.0%,1,Success
SkyGuardian111,3,Peni Parker,Vanguard,7.50,80.0%,1,Success
SkyGuardian111,4,Bruce Banner,Unknown,2.00,0.0%,0,Success
SkyGuardian111,5,Doctor Strange,Vanguard,13.00,40.0%,0,Success
Geeko,1,Spider-Man,Duelist,2.06,53.9%,16,Success
Geeko,2,Rogue,Vanguard,6.02,78.8%,15,Success
Geeko,3,Moon Knight,Duelist,3.55,59.2%,7,Success
Geeko,4,Psylocke,Duelist,2.86,27.8%,3,Success
Geeko,5,Luna Snow,Strategist,5.00,0.0%,3,Success
tr8n,1,Moon Knight,Duelist,2.28,52.2%,31,Success
tr8n,2,Squirrel Girl,Duelist,3.05,43.7%,12,Success
tr8n,3,Psylocke,Duelist,1.47,47.4%,9,Success
tr8n,4,Rocket Raccoon,Strategist,6.73,32.6%,9,Success
tr8n,5,Namor,Duelist,2.48,32.9%,7,Success
FatherQuinnel,N/A,N/A,N/A,N/A,N/A,0,Success
Hoshi_Blade,1,Blade,Duelist,2.74,49.4%,35,Success
Hoshi_Blade,2,Deadpool (Strategist),Unknown,6.51,49.5%,18,Success
Hoshi_Blade,3,Deadpool (Vanguard),Unknown,3.86,39.0%,13,Success
Hoshi_Blade,4,Emma Frost,Vanguard,3.07,42.1%,11,Success
Hoshi_Blade,5,Deadpool (Duelist),Unknown,2.64,44.4%,9,Success
ItAnAvocados,N/A,N/A,N/A,N/A,N/A,0,Private/Not Found
Triiix10,1,Rocket Raccoon,Strategist,5.60,61.5%,44,Success
Triiix10,2,Cloak & Dagger,Strategist,5.57,43.0%,14,Success
Triiix10,3,Invisible Woman,Strategist,4.31,48.8%,8,Success
Triiix10,4,White Fox,Strategist,4.22,50.0%,6,Success
Triiix10,5,Jeff The Land Shark,Strategist,1.95,5.7%,5,Success
PupusaEater26,1,Elsa Bloodstone,Duelist,5.48,78.6%,4,Success
PupusaEater26,2,Storm,Duelist,3.90,7.1%,2,Success
PupusaEater26,3,Peni Parker,Vanguard,11.78,86.4%,2,Success
PupusaEater26,4,Magneto,Vanguard,3.47,38.1%,2,Success
PupusaEater26,5,Thor,Vanguard,2.44,72.2%,1,Success

=== ROLE WIN RATE SUMMARY ===
IGN,Role,Weighted_WinRate%,Role_Matches,Status
Meowpow2745,Vanguard,55.5%,44,Success
Meowpow2745,Duelist,15.6%,3,Success
Meowpow2745,Strategist,49.4%,88,Success
I MUFFIN I,Vanguard,43.1%,36,Success
I MUFFIN I,Duelist,100.0%,1,Success
I MUFFIN I,Strategist,N/A,0,Success
AnimeNerd3323,Vanguard,58.1%,15,Success
AnimeNerd3323,Duelist,30.8%,9,Success
AnimeNerd3323,Strategist,52.5%,76,Success
Rheca,Vanguard,N/A,0,Success
Rheca,Duelist,74.1%,5,Success
Rheca,Strategist,N/A,0,Success
jessamxd,Vanguard,N/A,0,Success
jessamxd,Duelist,N/A,0,Success
jessamxd,Strategist,60.0%,5,Success
Hakku,Vanguard,55.8%,17,Success
Hakku,Duelist,54.7%,42,Success
Hakku,Strategist,55.9%,19,Success
ＰＥＲＫ,Vanguard,52.6%,1,Success
ＰＥＲＫ,Duelist,N/A,0,Success
ＰＥＲＫ,Strategist,55.5%,54,Success
Duckbadger,Vanguard,59.1%,18,Success
Duckbadger,Duelist,50.0%,2,Success
Duckbadger,Strategist,90.9%,1,Success
Nute,Vanguard,N/A,0,Success
Nute,Duelist,N/A,0,Success
Nute,Strategist,N/A,0,Success
Yammmmm,Vanguard,53.9%,35,Success
Yammmmm,Duelist,69.0%,3,Success
Yammmmm,Strategist,100.0%,1,Success
Hansollohub,Vanguard,N/A,0,Success
Hansollohub,Duelist,66.7%,3,Success
Hansollohub,Strategist,52.2%,20,Success
5728,Vanguard,N/A,0,Success
5728,Duelist,N/A,0,Success
5728,Strategist,N/A,0,Success
SkyGuardian111,Vanguard,90.0%,2,Success
SkyGuardian111,Duelist,N/A,0,Success
SkyGuardian111,Strategist,N/A,0,Success
Geeko,Vanguard,73.0%,17,Success
Geeko,Duelist,56.1%,31,Success
Geeko,Strategist,0.0%,3,Success
tr8n,Vanguard,N/A,0,Success
tr8n,Duelist,47.4%,59,Success
tr8n,Strategist,32.6%,9,Success
FatherQuinnel,Vanguard,N/A,0,Success
FatherQuinnel,Duelist,N/A,0,Success
FatherQuinnel,Strategist,N/A,0,Success
Hoshi_Blade,Vanguard,41.2%,17,Success
Hoshi_Blade,Duelist,62.4%,55,Success
Hoshi_Blade,Strategist,50.6%,9,Success
ItAnAvocados,Vanguard,N/A,0,Private/Not Found
ItAnAvocados,Duelist,N/A,0,Private/Not Found
ItAnAvocados,Strategist,N/A,0,Private/Not Found
Triiix10,Vanguard,0.0%,3,Success
Triiix10,Duelist,13.8%,2,Success
Triiix10,Strategist,52.3%,77,Success
PupusaEater26,Vanguard,54.1%,7,Success
PupusaEater26,Duelist,45.9%,11,Success
PupusaEater26,Strategist,65.5%,2,Success
